-1.230550780892372131e-01,-9.340918064117431641e-02,3.853356540203094482e-01,3.730854690074920654e-01,-1.608057171106338501e-01,-2.577396035194396973e-01,4.613719880580902100e-02,-2.300987690687179565e-01,-2.328943461179733276e-01,3.041502535343170166e-01,3.589328378438949585e-02,7.244499772787094116e-02,1.131046786904335022e-01,1.090382635593414307e-01,9.889338165521621704e-02
3.919339552521705627e-02,1.572159491479396820e-02,5.254217386245727539e-01,-3.280564546585083008e-01,-7.645262870937585831e-03,-4.906060639768838882e-03,-1.699110120534896851e-01,4.775180295109748840e-02,-2.698590755462646484e-01,-4.759139940142631531e-02,2.931793406605720520e-02,2.373447455465793610e-02,-6.909312307834625244e-02,-1.714713573455810547e-01,1.306158602237701416e-01
-4.533751010894775391e-01,3.620546758174896240e-01,3.958890959620475769e-02,7.419162429869174957e-03,-1.855571269989013672e-01,-1.473745796829462051e-02,-2.191944606602191925e-02,1.065132766962051392e-01,1.596895903348922729e-01,-2.813879959285259247e-02,-1.421183645725250244e-01,6.733228266239166260e-02,9.277001023292541504e-03,-3.910738043487071991e-03,3.716330975294113159e-02
-1.766878664493560791e-01,-3.605559095740318298e-02,4.718373715877532959e-01,1.169231086969375610e-01,-2.228122502565383911e-01,1.772398054599761963e-01,5.588735267519950867e-02,5.550390854477882385e-02,-1.142619177699089050e-01,-2.457382678985595703e-01,-2.110693976283073425e-02,1.373917460441589355e-01,-2.635935507714748383e-02,-2.294354438781738281e-01,6.641836464405059814e-02
-1.007560938596725464e-01,-2.414198964834213257e-02,4.663256704807281494e-01,3.025967180728912354e-01,-1.272658854722976685e-01,-1.279291510581970215e-02,3.399743437767028809e-01,8.973499061539769173e-04,2.660773098468780518e-01,-3.132667243480682373e-01,-1.891260296106338501e-01,-1.580579280853271484e-01,1.573836356401443481e-01,2.190663516521453857e-01,-1.062928419560194016e-02
6.533844769001007080e-02,1.320960279554128647e-02,5.395779609680175781e-01,-3.238844275474548340e-01,1.594989895820617676e-01,-1.181564629077911377e-01,3.799879923462867737e-02,-9.390210360288619995e-02,-1.381499916315078735e-01,2.065860666334629059e-02,1.296629756689071655e-01,7.432503253221511841e-02,-1.002822741866111755e-01,2.811251878738403320e-01,9.791713953018188477e-02
-8.813159167766571045e-02,-8.256245404481887817e-02,6.448275409638881683e-03,2.532925307750701904e-01,-2.316823601722717285e-01,-4.254195094108581543e-01,-8.058589696884155273e-02,2.380461543798446655e-01,8.676273375749588013e-02,-3.698709234595298767e-02,-4.487654939293861389e-02,1.196594461798667908e-01,-2.113729119300842285e-01,-1.580047011375427246e-01,-4.691042751073837280e-02
-7.249774411320686340e-03,-7.032170146703720093e-02,1.150696948170661926e-01,3.718720078468322754e-01,-3.502254560589790344e-02,4.001506268978118896e-01,-1.009701490402221680e-01,8.135408908128738403e-02,1.178921163082122803e-01,1.679910421371459961e-01,1.658926308155059814e-01,-4.717143625020980835e-02,-3.625054061412811279e-01,1.397111564874649048e-01,-9.318924695253372192e-02
9.388275444507598877e-03,-8.302477747201919556e-02,4.023897647857666016e-01,-3.528318703174591064e-01,-2.947851270437240601e-02,-1.892494559288024902e-01,-1.248733606189489365e-02,7.286997139453887939e-02,1.874285489320755005e-01,2.843080759048461914e-01,5.899199470877647400e-02,-4.515551030635833740e-01,2.525527216494083405e-02,-1.908387392759323120e-01,-1.661575585603713989e-01
-9.437700361013412476e-02,-5.681549906730651855e-01,6.686346232891082764e-02,-1.391805112361907959e-01,3.939365223050117493e-02,3.300099670886993408e-01,-1.956984996795654297e-01,1.061692088842391968e-01,4.174601659178733826e-02,-8.331164717674255371e-02,-8.226434141397476196e-02,-4.526101425290107727e-02,5.649435147643089294e-02,-6.926567852497100830e-02,4.025606811046600342e-02
